NEW_BUS_ID,RECONCILIATION_NUM,Percentage,Accum_Percentage,Client_Num
36470,46,0.001,0.676,184
34713,46,0.001,0.676,185
36605,44,0.001,0.677,186
14590,44,0.001,0.678,187
33713,44,0.001,0.679,188
36941,43,0.001,0.679,189
24745,43,0.001,0.68,190
4794,43,0.001,0.681,191
19990,42,0.001,0.682,192
29970,42,0.001,0.682,193
21377,42,0.001,0.683,194
21941,41,0.001,0.684,195
35376,41,0.001,0.685,196
30250,41,0.001,0.685,197
35703,40,0.001,0.686,198
25807,40,0.001,0.687,199
31361,40,0.001,0.687,200
37643,40,0.001,0.688,201
35705,39,0.001,0.689,202
31542,39,0.001,0.69,203
35865,39,0.001,0.69,204
14015,39,0.001,0.691,205
21160,39,0.001,0.692,206
35428,39,0.001,0.692,207
37194,39,0.001,0.693,208
20064,39,0.001,0.694,209
1433,39,0.001,0.694,210
14037,38,0.001,0.695,211
33854,38,0.001,0.696,212
34245,38,0.001,0.696,213
35132,37,0.001,0.697,214
35704,37,0.001,0.698,215
36512,36,0.001,0.698,216
35561,36,0.001,0.699,217
21077,36,0.001,0.7,218
36201,36,0.001,0.7,219
35662,35,0.001,0.701,220
36899,35,0.001,0.701,221
36629,35,0.001,0.702,222
14570,35,0.001,0.703,223
33888,35,0.001,0.703,224
32390,35,0.001,0.704,225
28730,35,0.001,0.704,226
37222,35,0.001,0.705,227
17455,35,0.001,0.706,228
37585,34,0.001,0.706,229
35431,34,0.001,0.707,230
35649,34,0.001,0.708,231
37114,34,0.001,0.708,232
20843,33,0.001,0.709,233
11016,33,0.001,0.709,234
15716,33,0.001,0.71,235
30872,33,0.001,0.71,236
27691,33,0.001,0.711,237
26407,33,0.001,0.712,238
27495,32,0.001,0.712,239
31090,32,0.001,0.713,240
32710,32,0.001,0.713,241
35667,32,0.001,0.714,242
19922,32,0.001,0.714,243
21075,32,0.001,0.715,244
33913,32,0.001,0.716,245
37046,32,0.001,0.716,246
19926,31,0.001,0.717,247
34757,31,0.001,0.717,248
33897,31,0.001,0.718,249
34848,31,0.001,0.718,250
36845,31,0.001,0.719,251
5834,31,0.001,0.719,252
25747,31,0.001,0.72,253
16454,31,0.001,0.72,254
33754,31,0.001,0.721,255
33880,31,0.001,0.722,256
10173,30,0.001,0.722,257
14995,30,0.001,0.723,258
17475,30,0.001,0.723,259
11175,30,0.001,0.724,260
33150,30,0.001,0.724,261
38397,30,0.001,0.725,262
26988,30,0.001,0.725,263
16461,29,0.001,0.726,264
30030,29,0.001,0.726,265
35226,29,0.001,0.727,266
19807,29,0.001,0.727,267
28712,29,0.001,0.728,268
36678,29,0.001,0.728,269
29192,29,0.001,0.729,270
34565,29,0.001,0.729,271
38185,29,0.001,0.73,272
10715,28,0,0.73,273
38620,28,0,0.731,274
34273,28,0,0.731,275
14693,28,0,0.732,276
37346,28,0,0.732,277
16035,28,0,0.733,278
23826,28,0,0.733,279
37098,28,0,0.734,280
26668,28,0,0.734,281
37060,28,0,0.735,282
36707,28,0,0.735,283
34821,27,0,0.736,284
35889,27,0,0.736,285
33810,27,0,0.737,286
16691,27,0,0.737,287
37204,27,0,0.738,288
35500,27,0,0.738,289
38090,26,0,0.739,290
15644,26,0,0.739,291
32282,26,0,0.74,292
35798,26,0,0.74,293
36469,26,0,0.74,294
27650,26,0,0.741,295
15813,26,0,0.741,296
14723,26,0,0.742,297
16598,26,0,0.742,298
2253,26,0,0.743,299
16596,26,0,0.743,300
31992,25,0,0.744,301
37707,25,0,0.744,302
4453,25,0,0.745,303
35370,25,0,0.745,304
14529,25,0,0.745,305
14593,25,0,0.746,306
37113,25,0,0.746,307
36848,25,0,0.747,308
37653,24,0,0.747,309
16460,24,0,0.748,310
2136,24,0,0.748,311
38467,24,0,0.748,312
11356,24,0,0.749,313
6673,24,0,0.749,314
32346,24,0,0.75,315
36576,24,0,0.75,316
35479,24,0,0.751,317
35094,23,0,0.751,318
33811,23,0,0.751,319
33920,23,0,0.752,320
10616,23,0,0.752,321
33927,23,0,0.753,322
35702,23,0,0.753,323
11475,23,0,0.753,324
16470,23,0,0.754,325
35503,23,0,0.754,326
32252,23,0,0.755,327
31368,23,0,0.755,328
35530,23,0,0.755,329
20845,23,0,0.756,330
35379,23,0,0.756,331
9253,23,0,0.757,332
30090,22,0,0.757,333
15132,22,0,0.757,334
35275,22,0,0.758,335
16612,22,0,0.758,336
33712,22,0,0.759,337
28870,22,0,0.759,338
33892,22,0,0.759,339
34843,22,0,0.76,340
10315,22,0,0.76,341
16743,22,0,0.761,342
14604,22,0,0.761,343
1534,22,0,0.761,344
21635,22,0,0.762,345
35665,22,0,0.762,346
35866,22,0,0.762,347
35458,22,0,0.763,348
37502,22,0,0.763,349
31320,21,0,0.764,350
35367,21,0,0.764,351
27530,21,0,0.764,352
20605,21,0,0.765,353
27611,21,0,0.765,354
22475,21,0,0.765,355
37532,21,0,0.766,356
32308,21,0,0.766,357
34815,21,0,0.767,358
35803,21,0,0.767,359
16055,21,0,0.767,360
15118,21,0,0.768,361
2314,21,0,0.768,362
18035,21,0,0.768,363
20247,21,0,0.769,364
34513,21,0,0.769,365
17015,21,0,0.77,366
36552,20,0,0.77,367
14614,20,0,0.77,368
5033,20,0,0.771,369
5013,20,0,0.771,370
4793,20,0,0.771,371
32316,20,0,0.772,372
33293,20,0,0.772,373
35855,20,0,0.772,374
33898,20,0,0.773,375
